epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,273.479,0.73255,0.40231,0.88006,0.99065,0.9697,0.99355,0.7198,1.07422,0.4471,1.03333,0.0008219,0.0008219,0.0008219
121,275.78,0.69089,0.39685,0.88106,0.98459,0.96806,0.99066,0.73505,1.02822,0.44195,1.00762,0.000812,0.000812,0.000812
122,278.021,0.73809,0.4028,0.87942,0.9745,0.95455,0.98392,0.73661,1.00065,0.452,1.00964,0.0008021,0.0008021,0.0008021
123,280.238,0.69417,0.38931,0.88154,0.9951,0.95455,0.97363,0.69029,1.09487,0.48223,1.03784,0.0007922,0.0007922,0.0007922
124,282.44,0.73722,0.40824,0.88773,1,0.96901,0.99047,0.70524,1.10159,0.46081,1.03941,0.0007823,0.0007823,0.0007823
125,284.651,0.68381,0.38968,0.88424,1,0.97894,0.99443,0.72283,1.08472,0.43333,1.02303,0.0007724,0.0007724,0.0007724
126,286.913,0.70969,0.39754,0.88076,1,0.96729,0.9937,0.71763,1.07854,0.44241,1.01758,0.0007625,0.0007625,0.0007625
127,289.322,0.73017,0.4095,0.894,1,0.90605,0.98321,0.70331,1.0761,0.50514,1.01441,0.0007526,0.0007526,0.0007526
128,291.533,0.70024,0.40281,0.8891,1,0.90894,0.97936,0.70982,1.062,0.48504,1.01393,0.0007427,0.0007427,0.0007427
129,293.689,0.71159,0.39926,0.86596,1,0.97988,0.99443,0.7236,1.06822,0.44561,1.01752,0.0007328,0.0007328,0.0007328
130,295.874,0.69413,0.39132,0.88529,1,0.98088,0.99225,0.72076,1.04085,0.45235,1.00474,0.0007229,0.0007229,0.0007229
131,298.03,0.70344,0.38981,0.88202,1,0.98426,0.99305,0.72064,1.02716,0.44327,1.00517,0.000713,0.000713,0.000713
132,300.178,0.69606,0.38291,0.87446,0.99907,0.98485,0.99368,0.7356,1.03183,0.42421,1.00282,0.0007031,0.0007031,0.0007031
133,302.438,0.67595,0.39065,0.86983,0.98632,0.9697,0.99426,0.71948,1.056,0.44116,1.01651,0.0006932,0.0006932,0.0006932
134,304.615,0.70704,0.38881,0.87005,0.9562,1,0.99471,0.72291,1.01373,0.43547,0.99485,0.0006833,0.0006833,0.0006833
